dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.0275148,0.559988,0.384223,0.169263,0.40425,0.0100778,0.294436,0.256896,0.839546,1
0.000448,0.519937,0.539377,0.0989361,0.219831,0.0101733,0.147386,0.354008,0.909844,1
0.0209026,0.590125,0.234434,0.0881856,0.845978,0.0101988,0.240872,0.277276,0.671517,0
0.001529,0.451498,0.0278611,0.240071,0.865978,0.0102466,0.243724,0.40679,0.707689,1
0.0015057,0.550054,0.434432,0.0868637,0.687692,0.0103517,0.157179,0.342057,0.991392,1
0.0006993,0.527136,0.0551564,0.0529394,0.844665,0.0105014,0.223424,0.225415,0.364174,1
0.0283089,0.631201,0.374654,0.0912158,0.314961,0.0105683,0.163004,0.272821,0.577393,0
0.0134916,0.696605,0.129752,0.0898057,0.1115633,0.0106129,0.631228,0.397449,0.831955,1
0.0072519,0.627101,0.613407,0.0975319,0.687692,0.0106638,0.172875,0.365877,0.998478,1
0.0163743,0.482548,0.579224,0.200742,0.334961,0.0107881,0.321388,0.42393,0.515235,1
0.0171639,0.747511,0.0505391,0.1011943,0.687692,0.010855,0.226027,0.387147,1.000087,1
0.0021485,0.644537,0.46206,0.0896019,0.845978,0.0108645,0.255405,0.269644,0.544953,0
0.0008896,0.364725,0.464165,0.1076869,0.139426,0.0110078,0.174929,0.365051,0.509745,1
0.0126318,0.461209,0.457145,0.0854304,0.38425,0.0110397,0.216682,0.233206,0.781856,0
0.0237237,0.598196,0.365102,0.0860249,0.38425,0.0111161,0.318727,0.25077,0.846466,0
0.0299046,0.374261,0.37363,0.1105358,0.350882,0.011148,0.210818,0.298504,0.696536,1
0.0006767,0.676549,0.551173,0.090244,0.615049,0.0111862,0.193992,0.263347,0.505789,0
0.0234204,0.398282,0.614578,0.170427,0.40425,0.0111862,0.181288,0.403805,0.771676,1
0,0.394242,0.167926,0.1050875,0.139426,0.0111926,0.189799,0.286951,0.509728,1
0.0277386,0.723033,0.468176,0.0720096,0.687692,0.0112181,0.248219,0.320687,0.967862,1
0.0012052,0.61977,0.590113,0.0873615,0.845978,0.0112276,0.175148,0.247036,0.592959,0
0.0008649,0.760297,0.521617,0.1310249,0.219831,0.0112563,0.169589,0.37188,0.927603,1
0.0016611,0.595493,0.456425,0.0870974,0.314961,0.0112881,0.304807,0.257841,0.740758,0
0.1124415,0.651186,0.611953,0.4363554,0.085014,0.0116003,0.198685,0.263706,0.559339,0
0.0020674,0.49866,0.424469,0.0882391,0.865978,0.0116353,0.215814,0.220424,0.696149,1
0.0285628,0.397267,0.493063,0.08817,0.967189,0.0116576,0.258736,0.343625,0.788145,1
0.0072389,0.419608,0.534914,0.0917084,0.354176,0.0116895,0.188899,0.276639,0.252783,0
0.0068257,0.646233,0.398222,0.0876423,0.1115633,0.0117277,0.213781,0.360962,0.782836,1
